,adult,budget,id,original_language,revenue,runtime,views,likes,dislikes,n_trailers,daysSinceStart,dayInYear,Mystery,Romance,Family,Science Fiction,Horror,Crime,Drama,Fantasy,Western,Animation,Music,Adventure,Foreign,Action,TV Movie,Comedy,Documentary,War,Thriller,History,numlang,cn,da,de,en,es,fr,hi,it,ja,ko,ml,ru,ta,zh
0,False,30000000,862,en,373554033.0,81.0,8050136,6330,1965,3,29484,302,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,False,65000000,8844,en,262797249.0,104.0,83048,70,14,1,29530,348,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,False,16000000,31357,en,81452156.0,127.0,104948,0,0,1,29537,355,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,False,60000000,949,en,187436818.0,170.0,32419,119,1,1,29530,348,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,False,35000000,9091,en,64350171.0,106.0,6162,12,3,2,29537,355,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,False,58000000,710,en,352194034.0,130.0,60593,138,9,4,29501,319,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,False,62000000,9087,en,107879496.0,106.0,2728,3,0,1,29502,320,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,False,44000000,10858,en,13681765.0,192.0,199605,399,16,1,29537,355,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,False,98000000,1408,en,10017322.0,119.0,340713,353,24,1,29537,355,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,False,52000000,524,en,116112375.0,178.0,964716,1788,61,1,29507,325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,False,16500000,4584,en,135000000.0,136.0,34129,92,2,2,29528,346,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,False,4000000,5,en,4300000.0,98.0,707157,503,29,2,29524,342,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,False,30000000,9273,en,212385533.0,90.0,200934,17,0,2,29495,313,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,False,60000000,11517,en,35431113.0,103.0,8240,10,0,1,29506,324,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,False,30250000,8012,en,115101622.0,105.0,280984,605,49,2,29474,292,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,False,50000000,9691,en,30303072.0,132.0,105322,134,9,1,29460,278,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,False,3600000,451,en,49800000.0,112.0,642157,603,45,1,29481,299,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,False,12000000,9263,en,27400000.0,100.0,131544,1065,12,1,29474,292,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,False,18000000,902,fr,1738611.0,108.0,52846,79,1,1,29317,135,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,False,29500000,63,en,168840000.0,129.0,1073845,1299,80,1,29544,362,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,False,30000000,9598,en,254134910.0,89.0,110893,64,3,1,29380,198,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,False,11000000,687,en,39363635.0,122.0,822094,848,47,1,29544,362,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,False,18000000,9312,en,122195920.0,101.0,1573578,4998,207,1,29411,229,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,False,20000000,577,en,21284514.0,106.0,204214,268,22,1,29321,139,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,False,10000000,11861,en,23574130.0,116.0,98958,214,6,1,29460,278,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,False,33000000,807,en,327311859.0,127.0,33367,33,1,1,29446,264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
