,budget,id,revenue,runtime,views,likes,dislikes,n_trailers,daysSinceStart,dayInYear,Mystery,Romance,Family,Science Fiction,Horror,Crime,Drama,Fantasy,Western,Animation,Music,Adventure,Foreign,Action,TV Movie,Comedy,Documentary,War,Thriller,History,numlang,cn,da,de,en,es,fr,hi,it,ja,ko,ml,ru,ta,zh,profit,isProfitable
0,30000000,862,373554033.0,81.0,8050136,6330,1965,3,29484,302,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,343554033.0,1
1,65000000,8844,262797249.0,104.0,83048,70,14,1,29530,348,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197797249.0,1
2,16000000,31357,81452156.0,127.0,104948,0,0,1,29537,355,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65452156.0,1
3,60000000,949,187436818.0,170.0,32419,119,1,1,29530,348,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127436818.0,1
4,35000000,9091,64350171.0,106.0,6162,12,3,2,29537,355,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29350171.0,1
5,58000000,710,352194034.0,130.0,60593,138,9,4,29501,319,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,294194034.0,1
6,62000000,9087,107879496.0,106.0,2728,3,0,1,29502,320,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45879496.0,1
7,44000000,10858,13681765.0,192.0,199605,399,16,1,29537,355,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-30318235.0,0
8,98000000,1408,10017322.0,119.0,340713,353,24,1,29537,355,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-87982678.0,0
9,52000000,524,116112375.0,178.0,964716,1788,61,1,29507,325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64112375.0,1
10,16500000,4584,135000000.0,136.0,34129,92,2,2,29528,346,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,118500000.0,1
11,4000000,5,4300000.0,98.0,707157,503,29,2,29524,342,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300000.0,1
